year,title,venue,doi
2003,Collaborative filtering with decoupled models for preferences and ratings,Proceedings of the Twelfth International Conference on Information and Knowledge Management,10.1145/956863.956922
2007,Case amazon: ratings and reviews as part of recommendations,Proceedings of the 2007 ACM Conference on Recommender Systems,10.1145/1297231.1297255
2007,Dynamics of collaborative document rating systems,Proceedings of the 9th WebKDD and 1st SNA-KDD 2007 Workshop on Web Mining and Social Network Analysis,10.1145/1348549.1348555
2008,Boosting collaborative filtering based on statistical prediction errors,Proceedings of the 2008 ACM Conference on Recommender Systems,10.1145/1454008.1454011
2008,Improving top-n recommendation techniques using rating variance,Proceedings of the 2008 ACM Conference on Recommender Systems,10.1145/1454008.1454059
2009,Collaborative prediction and ranking with non-random missing data,Proceedings of the Third ACM Conference on Recommender Systems,10.1145/1639714.1639717
2009,Community gravity: measuring bidirectional effects by trust and rating on online social networks,Proceedings of the 18th International Conference on World Wide Web,10.1145/1526709.1526810
2009,Context-based splitting of item ratings in collaborative filtering,Proceedings of the Third ACM Conference on Recommender Systems,10.1145/1639714.1639759
2009,Hydra: a hybrid recommender system [cross-linked rating and content information],Proceedings of the 1st ACM International Workshop on Complex Networks Meet Information &amp; Knowledge Management,10.1145/1651274.1651289
2009,Improving rating estimation in recommender systems using aggregation- and variance-based hierarchical models,Proceedings of the Third ACM Conference on Recommender Systems,10.1145/1639714.1639722
2010,Aggregating preference graphs for collaborative rating prediction,Proceedings of the Fourth ACM Conference on Recommender Systems,10.1145/1864708.1864716
2010,Combining predictions for accurate recommender systems,Proceedings of the 16th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/1835804.1835893
2010,Integrating OLAP and recommender systems: an evaluation perspective,Proceedings of the ACM 13th International Workshop on Data Warehousing and OLAP,10.1145/1871940.1871959
2010,Recommending based on rating frequencies,Proceedings of the Fourth ACM Conference on Recommender Systems,10.1145/1864708.1864755
2010,Trust network inference for online rating data using generative models,Proceedings of the 16th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/1835804.1835917
2011,A generalized stochastic block model for recommendation in social rating networks,Proceedings of the Fifth ACM Conference on Recommender Systems,10.1145/2043932.2043946
2011,Attention prediction on social media brand pages,Proceedings of the 20th ACM International Conference on Information and Knowledge Management,10.1145/2063576.2063915
2011,Bayesian latent variable models for collaborative item rating prediction,Proceedings of the 20th ACM International Conference on Information and Knowledge Management,10.1145/2063576.2063680
2011,Collaborative filtering with collective training,Proceedings of the Fifth ACM Conference on Recommender Systems,10.1145/2043932.2043983
2011,Distributed rating prediction in user generated content streams,Proceedings of the Fifth ACM Conference on Recommender Systems,10.1145/2043932.2043948
2011,Item popularity and recommendation accuracy,Proceedings of the Fifth ACM Conference on Recommender Systems,10.1145/2043932.2043957
2011,Latent aspect rating analysis without aspect keyword supervision,Proceedings of the 17th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/2020408.2020505
2011,Predicting performance in recommender systems,Proceedings of the Fifth ACM Conference on Recommender Systems,10.1145/2043932.2044009
2011,Product recommendation and rating prediction based on multi-modal social networks,Proceedings of the Fifth ACM Conference on Recommender Systems,10.1145/2043932.2043947
2011,Response prediction using collaborative filtering with hierarchies and side-information,Proceedings of the 17th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/2020408.2020436
2011,Review recommendation: personalized prediction of the quality of online reviews,Proceedings of the 20th ACM International Conference on Information and Knowledge Management,10.1145/2063576.2063938
2011,Towards a more realistic evaluation: testing the ability to predict future tastes of matrix factorization-based recommenders,Proceedings of the Fifth ACM Conference on Recommender Systems,10.1145/2043932.2043990
2011,User reputation in a comment rating environment,Proceedings of the 17th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/2020408.2020439
2011,Yahoo! music recommendations: modeling music ratings with temporal dynamics and item taxonomy,Proceedings of the Fifth ACM Conference on Recommender Systems,10.1145/2043932.2043964
2012,BlurMe: inferring and obfuscating user gender based on ratings,Proceedings of the Sixth ACM Conference on Recommender Systems,10.1145/2365952.2365989
2012,ETF: extended tensor factorization model for personalizing prediction of review helpfulness,Proceedings of the Fifth ACM International Conference on Web Search and Data Mining,10.1145/2124295.2124316
2012,Experimental analysis on cross domain preferences association and rating prediction,Proceedings of the 1st International Workshop on Cross Domain Knowledge Discovery in Web and Social Network Mining,10.1145/2351333.2351337
2012,Prediction of retweet cascade size over time,Proceedings of the 21st ACM International Conference on Information and Knowledge Management,10.1145/2396761.2398634
2012,Scalable collaborative filtering using incremental update and local link prediction,Proceedings of the 21st ACM International Conference on Information and Knowledge Management,10.1145/2396761.2398643
2012,Trust prediction via aggregating heterogeneous social networks,Proceedings of the 21st ACM International Conference on Information and Knowledge Management,10.1145/2396761.2398515
2013,Beyond rating prediction accuracy: on new perspectives in recommender systems,Proceedings of the 7th ACM Conference on Recommender Systems,10.1145/2507157.2508073
2013,Context-aware review helpfulness rating prediction,Proceedings of the 7th ACM Conference on Recommender Systems,10.1145/2507157.2507183
2013,Evaluation of recommendations: rating-prediction and ranking,Proceedings of the 7th ACM Conference on Recommender Systems,10.1145/2507157.2507160
2013,Exploiting collaborative filtering techniques for automatic assessment of student free-text responses,Proceedings of the 22nd ACM International Conference on Information &amp; Knowledge Management,10.1145/2505515.2507827
2013,Hidden factors and hidden topics: understanding rating dimensions with review text,Proceedings of the 7th ACM Conference on Recommender Systems,10.1145/2507157.2507163
2013,Incorporating author preference in sentiment rating prediction of reviews,Proceedings of the 22nd International Conference on World Wide Web,10.1145/2487788.2487805
2013,Instant foodie: predicting expert ratings from grassroots,Proceedings of the 22nd ACM International Conference on Information &amp; Knowledge Management,10.1145/2505515.2505712
2013,Is this app safe for children? a comparison study of maturity ratings on Android and iOS applications,Proceedings of the 22nd International Conference on World Wide Web,10.1145/2488388.2488407
2013,On popularity prediction of videos shared in online social networks,Proceedings of the 22nd ACM International Conference on Information &amp; Knowledge Management,10.1145/2505515.2505523
2013,On the prediction of popularity of trends and hits for user generated videos,Proceedings of the Sixth ACM International Conference on Web Search and Data Mining,10.1145/2433396.2433489
2013,Popularity prediction in microblogging network: a case study on sina weibo,Proceedings of the 22nd International Conference on World Wide Web,10.1145/2487788.2487877
2013,Recommendation opportunities: improving item prediction using weighted percentile methods in collaborative filtering systems,Proceedings of the 7th ACM Conference on Recommender Systems,10.1145/2507157.2507229
2013,Review rating prediction based on the content and weighting strong social relation of reviewers,Proceedings of the 2013 International Workshop on Mining Unstructured Big Data Using Natural Language Processing,10.1145/2513549.2513554
2013,Unsupervised link prediction using aggregative statistics on heterogeneous social networks,Proceedings of the 19th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/2487575.2487614
2014,A Two Step Ranking Solution for Twitter User Engagement,Proceedings of the 2014 Recommender Systems Challenge,10.1145/2668067.2668081
2014,Bayesian binomial mixture model for collaborative prediction with non-random missing data,Proceedings of the 8th ACM Conference on Recommender Systems,10.1145/2645710.2645754
2014,Collaborative Filtering Incorporating Review Text and Co-clusters of Hidden User Communities and Item Groups,Proceedings of the 23rd ACM International Conference on Conference on Information and Knowledge Management,10.1145/2661829.2662059
2014,Combining geographical information of users and content of items for accurate rating prediction,Proceedings of the 23rd International Conference on World Wide Web,10.1145/2567948.2577342
2014,"Controlled experimentation in recommendations, ranking &amp; response prediction",Proceedings of the 8th ACM Conference on Recommender Systems,10.1145/2645710.2645781
2014,Effective and effortless features for popularity prediction in microblogging network,Proceedings of the 23rd International Conference on World Wide Web,10.1145/2567948.2577312
2014,Exploring Tweet Engagement in the RecSys 2014 Data Challenge,Proceedings of the 2014 Recommender Systems Challenge,10.1145/2668067.2668075
2014,Item cold-start recommendations: learning local collective embeddings,Proceedings of the 8th ACM Conference on Recommender Systems,10.1145/2645710.2645751
2014,LASER: a scalable response prediction platform for online advertising,Proceedings of the 7th ACM International Conference on Web Search and Data Mining,10.1145/2556195.2556252
2014,Predicting User Engagement in Twitter with Collaborative Ranking,Proceedings of the 2014 Recommender Systems Challenge,10.1145/2668067.2668072
2014,"Ratings meet reviews, a combined approach to recommend",Proceedings of the 8th ACM Conference on Recommender Systems,10.1145/2645710.2645728
2014,Regression and Learning to Rank Aggregation for User Engagement Evaluation,Proceedings of the 2014 Recommender Systems Challenge,10.1145/2668067.2668077
2015,A Probabilistic Rating Auto-encoder for Personalized Recommender Systems,Proceedings of the 24th ACM International on Conference on Information and Knowledge Management,10.1145/2806416.2806633
2015,Collaborative Prediction for Multi-entity Interaction With Hierarchical Representation,Proceedings of the 24th ACM International on Conference on Information and Knowledge Management,10.1145/2806416.2806530
2015,Future User Engagement Prediction and Its Application to Improve the Sensitivity of Online Experiments,Proceedings of the 24th International Conference on World Wide Web,10.1145/2736277.2741116
2015,Incorporating Phrase-level Sentiment Analysis on Textual Reviews for Personalized Recommendation,Proceedings of the Eighth ACM International Conference on Web Search and Data Mining,10.1145/2684822.2697033
2015,Life-stage Prediction for Product Recommendation in E-commerce,Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/2783258.2788562
2015,Offline Evaluation of Response Prediction in Online Advertising Auctions,Proceedings of the 24th International Conference on World Wide Web,10.1145/2740908.2742566
2015,Overlapping Community Regularization for Rating Prediction in Social Recommender Systems,Proceedings of the 9th ACM Conference on Recommender Systems,10.1145/2792838.2800171
2015,Protecting Your Children from Inappropriate Content in Mobile Apps: An Automatic Maturity Rating Framework,Proceedings of the 24th ACM International on Conference on Information and Knowledge Management,10.1145/2806416.2806579
2015,Real-Time Bid Prediction using Thompson Sampling-Based Expert Selection,Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/2783258.2788586
2015,Video Popularity Prediction by Sentiment Propagation via Implicit Network,Proceedings of the 24th ACM International on Conference on Information and Knowledge Management,10.1145/2806416.2806505
2015,Will This Paper Increase Your h-index? Scientific Impact Prediction,Proceedings of the Eighth ACM International Conference on Web Search and Data Mining,10.1145/2684822.2685314
2016,Are You Influenced by Others When Rating? Improve Rating Prediction by Conformity Modeling,Proceedings of the 10th ACM Conference on Recommender Systems,10.1145/2959100.2959141
2016,Domain-Aware Grade Prediction and Top-n Course Recommendation,Proceedings of the 10th ACM Conference on Recommender Systems,10.1145/2959100.2959133
2016,Explaining Reviews and Ratings with PACO: Poisson Additive Co-Clustering,Proceedings of the 25th International Conference Companion on World Wide Web,10.1145/2872518.2889400
2016,Feature Driven and Point Process Approaches for Popularity Prediction,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,10.1145/2983323.2983812
2016,Fifty Shades of Ratings: How to Benefit from a Negative Feedback in Top-N Recommendations Tasks,Proceedings of the 10th ACM Conference on Recommender Systems,10.1145/2959100.2959170
2016,GLMix: Generalized Linear Mixed Models For Large-Scale Response Prediction,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/2939672.2939684
2016,Investigations on Rating Computer Sciences Conferences: An Experiment with the Microsoft Academic Graph Dataset,Proceedings of the 25th International Conference Companion on World Wide Web,10.1145/2872518.2890525
2016,Retweet Prediction with Attention-based Deep Neural Network,Proceedings of the 25th ACM International on Conference on Information and Knowledge Management,10.1145/2983323.2983809
2017,Beyond the Stars: Towards a Novel Sentiment Rating to Evaluate Applications in Web Stores of Mobile Apps,Proceedings of the 26th International Conference on World Wide Web Companion,10.1145/3041021.3054139
2017,Controlling Popularity Bias in Learning-to-Rank Recommendation,Proceedings of the Eleventh ACM Conference on Recommender Systems,10.1145/3109859.3109912
2017,DeepHawkes: Bridging the Gap between Prediction and Understanding of Information Cascades,Proceedings of the 2017 ACM on Conference on Information and Knowledge Management,10.1145/3132847.3132973
2017,"Do ""Also-Viewed"" Products Help User Rating Prediction?",Proceedings of the 26th International Conference on World Wide Web,10.1145/3038912.3052581
2017,Email Category Prediction,Proceedings of the 26th International Conference on World Wide Web Companion,10.1145/3041021.3055166
2017,Extracting Implicit Social Relation for Social Recommendation Techniques in User Rating Prediction,Proceedings of the 26th International Conference on World Wide Web Companion,10.1145/3041021.3051153
2017,GPOP: Scalable Group-level Popularity Prediction for Online Content in Social Networks,Proceedings of the 26th International Conference on World Wide Web,10.1145/3038912.3052626
2017,Interpretable Convolutional Neural Networks with Dual Local and Global Attention for Review Rating Prediction,Proceedings of the Eleventh ACM Conference on Recommender Systems,10.1145/3109859.3109890
2017,Local Algorithm for User Action Prediction Towards Display Ads,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/3097983.3098089
2017,Recipe Popularity Prediction with Deep Visual-Semantic Fusion,Proceedings of the 2017 ACM on Conference on Information and Knowledge Management,10.1145/3132847.3133137
2018,Adversarial Training Model Unifying Feature Driven and Point Process Perspectives for Event Popularity Prediction,Proceedings of the 27th ACM International Conference on Information and Knowledge Management,10.1145/3269206.3271714
2018,Aspect-Aware Latent Factor Model: Rating Prediction with Ratings and Reviews,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186145
2018,Coevolutionary Recommendation Model: Mutual Learning between Ratings and Reviews,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186158
2018,Fine-grained Video Attractiveness Prediction Using Multimodal Deep Learning on a Large Real-world Dataset,Companion Proceedings of the The Web Conference 2018,10.1145/3184558.3186584
2018,Heterogeneous Neural Attentive Factorization Machine for Rating Prediction,Proceedings of the 27th ACM International Conference on Information and Knowledge Management,10.1145/3269206.3271759
2018,I Know You'll Be Back: Interpretable New User Clustering and Churn Prediction on a Mobile Social Application,Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3219819.3219821
2018,Neural Attentional Rating Regression with Review-level Explanations,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186070
2018,Neural gaussian mixture model for review-based rating prediction,Proceedings of the 12th ACM Conference on Recommender Systems,10.1145/3240323.3240353
2018,Prediction of Sparse User-Item Consumption Rates with Zero-Inflated Poisson Regression,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186153
2018,Psrec: social recommendation with pseudo ratings,Proceedings of the 12th ACM Conference on Recommender Systems,10.1145/3240323.3240390
2018,Robust Factorization Machines for User Response Prediction,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186148
2018,User-guided Hierarchical Attention Network for Multi-modal Social Image Popularity Prediction,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186026
2019,ARP: Aspect-aware Neural Review Rating Prediction,Proceedings of the 28th ACM International Conference on Information and Knowledge Management,10.1145/3357384.3358086
2019,Bridging Models for Popularity Prediction on Social Media,Proceedings of the Twelfth ACM International Conference on Web Search and Data Mining,10.1145/3289600.3291598
2019,Collective embedding for neural context-aware recommender systems,Proceedings of the 13th ACM Conference on Recommender Systems,10.1145/3298689.3347028
2019,DAML: Dual Attention Mutual Learning between Ratings and Reviews for Item Recommendation,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3292500.3330906
2019,Dual Sequential Prediction Models Linking Sequential Recommendation and Information Dissemination,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3292500.3330959
2019,"Exploiting Ratings, Reviews and Relationships for Item Recommendations in Topic Based Social Networks",The World Wide Web Conference,10.1145/3308558.3313473
